URL,Title,Visit Time,Visit Count,Visited From,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
file:///D:/Game_workspace/12DF,,2022-08-12 ¿ÀÀü 8:00:54,2,,Internet Explorer 10/11 / Edge,AD01713091,,30,
file:///D:/Game_workspace/12DF/20220812_appgaurd_crash,,2022-08-12 ¿ÀÀü 8:00:54,1,,Internet Explorer 10/11 / Edge,AD01713091,,54,
file:///D:/Game_workspace,,2022-08-12 ¿ÀÀü 8:00:42,14,,Internet Explorer 10/11 / Edge,AD01713091,,25,
file:///D:/Dev/exart/artifacts,,2022-08-11 ¿ÀÈÄ 5:01:31,2,,Internet Explorer 10/11 / Edge,AD01713091,,30,
file:///D:/Dev/exart/artifacts/hash,,2022-08-11 ¿ÀÈÄ 5:01:31,2,,Internet Explorer 10/11 / Edge,AD01713091,,35,
file:///C:/Program%20Files/Git/ReleaseNotes.html,,2022-08-11 ¿ÀÈÄ 4:30:41,1,,Internet Explorer 10/11 / Edge,AD01713091,,48,
file:///C:/Users/AD01713091/Pictures/mft_drive.png,,2022-08-11 ¿ÀÈÄ 4:29:53,2,,Internet Explorer 10/11 / Edge,AD01713091,,50,
file:///D:/Dev/line_exart/artifacts/webcache/cache-chrome.csv,,2022-08-11 ¿ÀÈÄ 3:42:51,3,,Internet Explorer 10/11 / Edge,AD01713091,,61,
file:///D:/Dev/line_exart/artifacts/bitsservicejob.txt,,2022-08-11 ¿ÀÈÄ 3:42:09,2,,Internet Explorer 10/11 / Edge,AD01713091,,54,
file:///D:/Dev/line_exart/artifacts,,2022-08-11 ¿ÀÈÄ 2:43:09,5,,Internet Explorer 10/11 / Edge,AD01713091,,35,
file:///D:/Dev/line_exart/artifacts/hash,,2022-08-11 ¿ÀÈÄ 2:43:09,2,,Internet Explorer 10/11 / Edge,AD01713091,,40,
file:///D:/Dev/line_exart/artifacts/iconcache,,2022-08-11 ¿ÀÈÄ 2:42:56,2,,Internet Explorer 10/11 / Edge,AD01713091,,45,
file:///D:/Dev/line_exart/artifacts/webcache/browsing-history.csv,,2022-08-11 ¿ÀÈÄ 2:36:24,1,,Internet Explorer 10/11 / Edge,AD01713091,,65,
file:///D:/Dev/line_exart/artifacts/webcache/cache-ie.csv,,2022-08-11 ¿ÀÈÄ 2:36:21,1,,Internet Explorer 10/11 / Edge,AD01713091,,57,
file:///D:/Dev/line_exart/artifacts/drive_D/mft.csv,,2022-08-11 ¿ÀÈÄ 1:54:11,1,,Internet Explorer 10/11 / Edge,AD01713091,,51,
file:///D:/Dev/line_exart,,2022-08-11 ¿ÀÈÄ 1:39:27,3,,Internet Explorer 10/11 / Edge,AD01713091,,25,
file:///D:/Dev/line_exart/sub_tool,,2022-08-11 ¿ÀÈÄ 1:39:27,1,,Internet Explorer 10/11 / Edge,AD01713091,,34,
file:///D:/Dev/line_exart/readme.txt,,2022-08-11 ¿ÀÀü 11:24:36,5,,Internet Explorer 10/11 / Edge,AD01713091,,36,
file:///D:/Dev/line_exart/artifacts/webcache,,2022-08-11 ¿ÀÀü 11:23:35,4,,Internet Explorer 10/11 / Edge,AD01713091,,44,
file:///D:/Dev/line_exart/artifacts/webcache/»õ%20Æú´õ%20(3),,2022-08-11 ¿ÀÀü 11:23:35,1,,Internet Explorer 10/11 / Edge,AD01713091,,57,
file:///D:/Dev/line_exart/artifacts/webcache/»õ%20Æú´õ%20(2),,2022-08-11 ¿ÀÀü 11:23:31,1,,Internet Explorer 10/11 / Edge,AD01713091,,57,
file:///D:/Dev/line_exart/artifacts/webcache/»õ%20Æú´õ,,2022-08-11 ¿ÀÀü 11:23:30,1,,Internet Explorer 10/11 / Edge,AD01713091,,51,
file:///D:/Dev/line_exart/NTFS_copy_log.log,,2022-08-11 ¿ÀÀü 11:13:40,1,,Internet Explorer 10/11 / Edge,AD01713091,,43,
file:///D:/Dev/line_exart/forecopy_handy.log,,2022-08-11 ¿ÀÀü 11:13:34,1,,Internet Explorer 10/11 / Edge,AD01713091,,44,
file:///D:/Dev/codetest/drive.py,,2022-08-11 ¿ÀÀü 10:53:00,1,,Internet Explorer 10/11 / Edge,AD01713091,,32,
