Executed File,File Last Modified,File Created On,File Size,File Attributes,Product Name,Product Version,File Description,File Version,Company Name,Last Executed On
C:\Dev\line_exart\utils\AhnRpt_x64.exe,2014-08-13 오전 7:49:00,2022-07-08 오전 7:07:30,"966,720",A,AhnReport,6.54.045.2 (Build 0253.x64p),AhnReport,6.54.045.0253 (x64p),"AhnLab, Inc.",
C:\Dev\line_exart\utils\DumpIt.exe,2011-05-03 오전 5:41:58,2022-07-08 오전 7:07:30,"207,496",A,,,,,,
C:\Dev\line_exart\utils\winpmem_mini_x64_rc2.exe,,,,,,,,,,
C:\Dev\line_exart\utils\winpmem_mini_x86.exe,,,,,,,,,,
C:\Dev\line_exart\utils\winpmemx64.exe,,,,,,,,,,
C:\LINE Games\Launcher\FLOORLauncherUnInstaller.exe,,,,,,,,,,
C:\LINE Games\Launcher\FloorPatcher.exe,,,,,,,,,,2022-07-01 오전 1:09:03
C:\LINE GAMES\UNCHARTED WATERS ORIGIN\ENGINE\EXTRAS\REDIST\EN-US\UE4PREREQSETUP_X64.EXE,,,,,,,,,,2022-06-24 오전 6:28:26
C:\LINE GAMES\UNCHARTED WATERS ORIGIN\UWO.EXE,,,,,,,,,,2022-06-24 오전 6:28:23
C:\Program Files (x86)\3uTools\3uTools.exe,2022-07-15 오전 12:10:48,2022-06-13 오전 9:36:18,"12,583,088",A,3uTools,2.6.1.28,3uTools,2.6.1.28,"ShangHai ZhangZheng Network Technology Co., Ltd.",
C:\PROGRAM FILES (X86)\3uTools\cache\sshtool\putty.exe,2022-06-20 오전 2:38:56,2022-06-20 오전 2:38:56,"1,096,080",A,PuTTY suite,Release 0.74,"SSH, Telnet and Rlogin client",Release 0.74 (with embedded help),Simon Tatham,2022-07-20 오전 7:24:49
C:\PROGRAM FILES (X86)\3uTools\updater.exe,2021-02-03 오전 1:24:31,2022-06-13 오전 9:36:19,"1,188,824",A,3uUpdater,2.2.2.0,3uUpdater,2.2.2.0,"ShangHai ZhangZheng Network Technology Co., Ltd.",2022-07-15 오전 12:10:46
C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,2022-08-02 오후 9:32:04,2022-08-02 오후 9:32:04,"3,220,680",A,Adobe Acrobat Reader DC,22.2.20191.0,Adobe Acrobat Reader DC,22.2.20191.0,Adobe Systems Incorporated,
C:\PROGRAM FILES (X86)\BIGFIX ENTERPRISE\BES CLIENT\X64ENVIRONMENT.EXE,2021-07-21 오전 4:01:08,2021-07-21 오전 4:01:08,"2,325,960",A,x64environment,10.0.4.32,x64 Environment Application,10.0.4.32,HCL Technologies Limited,2022-08-26 오전 7:40:44
C:\Program Files (x86)\Common Files\Microsoft Shared\MSEnv\VSLauncher.exe,2021-07-03 오전 9:41:58,2021-07-03 오전 9:41:58,"281,536",A,Microsoft® Visual Studio®,16.0.31503.54,Microsoft Visual Studio Version Selector,16.0.31503.54 built by: D16.11,Microsoft Corporation,
C:\Program Files (x86)\Common Files\Pulse Secure\JamUI\Pulse.exe,,,,,,,,,,2022-06-13 오전 4:59:03
C:\PROGRAM FILES (X86)\Dell\UPDATESERVICE\Service\InvColPC.exe,2022-08-17 오전 8:50:42,2022-03-15 오후 5:23:50,"11,100,904",A,Inventory Collector,10.7.6,Dell Inventory Utility,10.7.6,Dell Inc.,2022-08-26 오전 7:39:00
C:\program files (x86)\epic games\launcher\engine\binaries\win64\epicwebhelper.exe,2022-08-24 오후 10:09:14,2022-06-27 오전 1:05:20,"3,614,160",A,Unreal Engine,4.23.0,EpicWebHelper,,"Epic Games, Inc.",
C:\Program Files (x86)\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe,2022-08-24 오후 10:09:15,2022-06-27 오전 1:05:21,"32,706,512",A,Unreal Engine,14.1.7-21543066+++Portal+Release-Live,EpicGamesLauncher,,"Epic Games, Inc.",
C:\Program Files (x86)\Epic Games\Launcher\Portal\SelfUpdateStaging\Install\Portal\Extras\Redist\LauncherPrereqSetup_x64.exe,,,,,,,,,,2022-06-27 오전 1:06:21
C:\Program Files (x86)\InstallShield Installation Information\{359A9566-381F-4D9B-8ABE-2D922940149F}\setup.exe,,,,,,,,,,
C:\Program Files (x86)\Kakao\KakaoTalk\KakaoTalk.exe,2022-06-27 오전 5:21:08,2022-06-27 오전 5:21:08,"23,642,696",A,KakaoTalk,3.4.1.3152,KakaoTalk,3.4.1.3152,Kakao Corp.,
C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe,2022-06-21 오전 1:44:38,2022-06-21 오전 1:39:14,"751,568",A,Microsoft® Visual Studio®,16.11.32602.291,Microsoft Visual Studio 2019,16.11.32602.291 built by: D16.11,Microsoft Corporation,2022-07-19 오전 12:49:26
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,2022-08-18 오후 4:43:47,2021-08-05 오후 10:41:46,"3,827,128",A,Microsoft Edge,104.0.1293.63,Microsoft Edge,104.0.1293.63,Microsoft Corporation,2022-08-24 오전 7:43:49
C:\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE,2021-08-05 오후 10:41:06,2021-08-05 오후 10:41:46,"214,952",A,Microsoft Edge Update,1.3.147.37,Microsoft Edge Update,1.3.147.37,Microsoft Corporation,2022-08-26 오전 7:04:21
C:\PROGRAM FILES (X86)\NETSARANG\XFTP 7\LIVEUPDATE.EXE,,,,,,,,,,2022-07-20 오전 7:16:33
C:\Program Files (x86)\NetSarang\Xftp 7\Xftp.exe,,,,,,,,,,2022-07-21 오전 6:42:55
C:\Program Files (x86)\PicPick\picpick.exe,2022-05-17 오전 6:17:54,2022-05-17 오전 6:17:54,"30,945,056",A,PicPick,6.1.2.0,PicPick,6.1.2.0,NGWIN,2022-08-19 오전 8:47:02
C:\PROGRAM FILES (X86)\PRIVACY-I\PIAgent.exe,2022-06-03 오전 4:37:40,2022-06-03 오전 4:37:40,"11,408,088",A,Privacy-i,6.0.11083.20220603,Privacy-i(Stable),6.0.11083.1201,Somansa,2022-08-24 오전 6:23:06
